"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,42,"Nevada",34,218400,0.00459981600735971,0.0162866449511401,0.105263157894737,0.106790381418478,-0.0348221396256997,"2006-04","2006-Q2",311300,-0.298425955669772,"2004-04"
2016-04-30,41,"New Mexico",35,166400,0.00665456745311555,0.017737003058104,0.018359853121175,-0.0128321725948835,-0.00666042700155645,"2009-05","2009-Q2",197200,-0.156186612576065,"2005-02"
2016-04-30,61,"West Virginia",36,96600,0.00415800415800416,0.036480686695279,0.0662251655629139,0.00914851410637429,,"2014-03","2014-Q1",104800,-0.0782442748091603,"2013-04"
2016-04-30,38,"Nebraska",37,142300,0.00281888653981677,0.0120910384068279,0.0595681310498883,0.0336452624532027,0.0138607759817353,"2016-04","2016-Q2",142300,0,"2016-04"
2016-04-30,20,"Idaho",38,175400,0.00515759312320917,0.0156340474811812,0.0566265060240964,0.0355363978852108,0.000974415103326853,"2007-11","2007-Q4",197200,-0.110547667342799,"2006-05"
2016-04-30,18,"Hawaii",39,557500,0.00197699496764917,0.00613607652048367,0.0375953843290527,0.0502000290416533,0.00186655354899434,"2016-04","2016-Q2",557500,0,"2016-04"
2016-04-30,39,"New Hampshire",40,227800,-0.000438788942518649,0.00707338638373121,0.0331065759637188,0.0275046295579733,-0.0113324261037779,"2006-03","2006-Q1",255500,-0.108414872798434,"2004-05"
2016-04-30,50,"Rhode Island",41,233600,0.00516351118760757,0.016093953892997,0.0484739676840215,0.0137330797043664,-0.02323174783186,"2005-11","2005-Q4",297000,-0.213468013468013,"2003-09"
2016-04-30,35,"Montana",42,189300,0.00691489361702128,0.0155579399141631,0.0470132743362832,0.00116624574908708,0.0199290458946324,"2009-08","2009-Q3",214300,-0.116658889407373,"2008-12"
2016-04-30,13,"Delaware",43,210800,0.000474608448030375,0.00380952380952381,0.0430479960415636,0.00896480136899025,-0.00846330416478647,"2007-05","2007-Q2",234900,-0.102596849723287,"2005-08"
2016-04-30,52,"South Dakota",44,164000,0.00551808706315144,0.0173697270471464,0.0684039087947883,0.033186079963893,0.0205605426983444,"2016-04","2016-Q2",164000,0,"2016-04"
2016-04-30,3,"Alaska",45,268600,0.00373692077727952,0.0120572720422005,0.0378670788253478,0.0134042095185551,0.00556496659472927,"2008-06","2008-Q2",277900,-0.0334652752788773,"2007-08"
2016-04-30,37,"North Dakota",46,202600,0.0054590570719603,0.0165579528349222,0.042717447246526,0.0584587061384303,0.0474008587199983,"2016-04","2016-Q2",202600,0,"2016-04"
2016-04-30,58,"Vermont",47,216500,0.00138760407030527,-0.00276370336250576,-0.0073360843649702,0.00298262359000923,-0.0121695865774201,"2005-06","2005-Q2",256100,-0.154627098789535,"2004-10"
2016-04-30,12,"District of Columbia",48,498200,-0.00240288346015218,-0.00140308679094007,0.0325388601036269,0.0718833863412687,0.0218139262373107,"2016-02","2016-Q1",500100,-0.00379924015196961,"2016-01"
2016-04-30,62,"Wyoming",49,193800,0.00258665287118469,0.00623052959501558,0.0324986680873735,0.0110924984864809,0.0125357741374905,"2009-06","2009-Q2",212400,-0.0875706214689266,"2008-09"
