"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,401,"Bronx","NY","New York",25,339100,0.00295770482105886,0.00772659732540862,0.00742721330956625,0.00952610765000994,-0.00618367579833223,"2007-04","2007-Q2",396300,-0.144335099671966,"2005-11"
2016-04-30,1252,"Nassau","NY","New York",26,464700,0.000215238915195867,0.00129282482223659,0.0278699402786994,0.0226834693130236,-0.00925874040862384,"2006-08","2006-Q3",512700,-0.093622001170275,"2005-02"
2016-04-30,2993,"Palm Beach","FL","Miami-Fort Lauderdale",27,233300,0.00647109577221743,0.023694602896007,0.116267942583732,0.0929407757633705,-0.0316488561307485,"2006-03","2006-Q1",322800,-0.2772614622057,"2004-10"
2016-04-30,2241,"Cuyahoga","OH","Cleveland",28,107400,-0.000930232558139535,0.00845070422535211,0.0366795366795367,0.0076199290174801,-0.0198919515978436,"2005-08","2005-Q3",133600,-0.196107784431138,"1999-04"
2016-04-30,3165,"Hillsborough","FL","Tampa",29,174400,0.00460829493087558,0.0169096209912536,0.0792079207920792,0.0785386553984389,-0.0230930521746715,"2006-09","2006-Q3",226600,-0.23036187113857,"2005-05"
2016-04-30,2614,"Allegheny","PA","Pittsburgh",30,130000,0.00154083204930663,0.00775193798449612,0.04,0.0319195935136414,0.0241518163526204,"2016-04","2016-Q2",130000,0,"2016-04"
2016-04-30,1950,"Oakland","MI","Detroit",31,203000,0.00296442687747036,0.00694444444444444,0.0388945752302968,0.0928914056353765,-0.00669271314773412,"2005-12","2005-Q4",219600,-0.075591985428051,"2002-10"
2016-04-30,2288,"Franklin","OH","Columbus",32,137300,0.00807635829662261,0.0200594353640416,0.0701480904130943,0.0288492732733259,-0.00187419838242475,"2006-06","2006-Q2",140100,-0.0199857244825125,"2005-02"
2016-04-30,2339,"Hennepin","MN","Minneapolis-St Paul",33,232400,0.00215610176800345,0.0121951219512195,0.0482634190347316,0.0435376127020479,-0.00655590047566812,"2006-05","2006-Q2",248400,-0.0644122383252818,"2004-10"
2016-04-30,1287,"Orange","FL","Orlando",34,190800,0.00262743037309511,0.0154337413517829,0.096551724137931,0.0894854843580435,-0.0299105483041741,"2006-07","2006-Q3",262400,-0.272865853658537,"2005-04"
2016-04-30,1694,"Fairfax","VA","Washington",35,497400,0.00201450443190975,0.00525464834276475,-0.00559776089564174,0.0331306777031373,-0.00907930791389455,"2005-12","2005-Q4",553000,-0.100542495479204,"2005-04"
2016-04-30,3159,"Contra Costa","CA","San Francisco",36,538500,0.00354081252329482,0.0173814471944077,0.0956256358087487,0.105860287174365,-0.0133399353717265,"2006-01","2006-Q1",622600,-0.135078702216511,"2005-01"
2016-04-30,2840,"Salt Lake","UT","Salt Lake City",37,240700,0.0058503969912244,0.0177589852008457,0.0871725383920506,0.0287445087901037,0.0145135164837955,"2007-12","2007-Q4",275200,-0.125363372093023,"2006-12"
2016-04-30,1440,"Travis","TX","Austin",38,292000,0.00898410504492052,0.0325318246110325,0.0891458411040656,0.0646258191662403,0.0458524100601958,"2016-04","2016-Q2",292000,0,"2016-04"
2016-04-30,3130,"Saint Louis","MO","St. Louis",39,161600,0.00435052827843381,0.0157133878064111,0.0624589086127548,0.024042287526729,-0.00511311860985053,"2007-05","2007-Q2",180800,-0.106194690265487,"2004-12"
2016-04-30,281,"Pima","AZ","Tucson",40,168800,0.00416418798334325,0.00776119402985075,0.0324159021406728,0.0276232913164043,-0.0331610685238876,"2006-05","2006-Q2",237200,-0.288364249578415,"2004-11"
2016-04-30,2975,"Montgomery","MD","Washington",41,417900,0.00143781452192667,0.0065028901734104,0.000958083832335329,0.0213554372711338,-0.0156496148907842,"2006-04","2006-Q2",489300,-0.145922746781116,"2005-01"
2016-04-30,2347,"Honolulu","HI","Urban Honolulu, HI",42,606500,0.00115549686365137,0.00016490765171504,0.0123518611250209,0.0434551392404361,0.0101208509181845,"2016-04","2016-Q2",606500,0,"2016-04"
2016-04-30,3148,"Westchester","NY","New York",43,553300,0.00435650753312761,0.0204721504979712,0.0571264807030951,0.0201388097463171,-0.0113014359881534,"2006-06","2006-Q2",623100,-0.112020542449045,"2004-12"
2016-04-30,2804,"Milwaukee","WI","Milwaukee",44,100000,0.001001001001001,0.00200400801603206,0.0101010101010101,-0.00512039520403063,-0.0340490831235574,"2006-04","2006-Q2",141400,-0.292786421499293,"2002-12"
2016-04-30,1018,"Fresno","CA","Fresno",45,201900,0.00447761194029851,0.0095,0.0493762993762994,0.0685961045934602,-0.0377958133438624,"2006-04","2006-Q2",296800,-0.319743935309973,"2004-07"
2016-04-30,1388,"Shelby","TN","Memphis",46,103600,-0.00192678227360308,0.00193423597678917,0.0625641025641026,0.0172690880159063,-0.0117515985956217,"2007-04","2007-Q2",120000,-0.136666666666667,"2003-02"
2016-04-30,1020,"Fulton","GA","Atlanta",47,218500,0.00505979760809567,0.0153345724907063,0.0859840954274354,0.0675274364921727,-0.000593026833425325,"2007-10","2007-Q4",221900,-0.0153222172149617,"2006-03"
2016-04-30,3102,"Mecklenburg","NC","Charlotte",48,183200,0.00383561643835616,0.0138350857775318,0.070718877849211,0.0441618519153739,0.0142044901886009,"2016-04","2016-Q2",183200,0,"2016-04"
2016-04-30,1682,"Du Page","IL","Chicago",49,260700,0.00230680507497117,0.00734157650695518,0.0128205128205128,0.0160918973667918,-0.0185240435314021,"2006-10","2006-Q4",316400,-0.176042983565107,"2004-02"
2016-04-30,2694,"Fairfield","CT","Stamford",50,386600,-0.00386498325173924,-0.0107471852610031,-0.0177845528455285,-0.00128833203006529,-0.0252572169772524,"2006-03","2006-Q1",499400,-0.225871045254305,"2003-07"
2016-04-30,2480,"Pinellas","FL","Tampa",51,175200,0.00747556066705003,0.0221703617269545,0.120204603580563,0.0788050822499116,-0.0220225657745772,"2006-05","2006-Q2",219300,-0.20109439124487,"2005-03"
2016-04-30,874,"Bergen","NJ","New York",52,426900,-0.000468274408803559,0.00589066918001885,0.0111321648507816,0.011539092299572,-0.0161332184503379,"2006-05","2006-Q2",503900,-0.152808096844612,"2004-09"
2016-04-30,1165,"Marion","IN","Indianapolis",53,106000,-0.00188323917137476,-0.00469483568075117,0.0281280310378274,0.0234503390124619,-0.0127392261476013,"2006-01","2006-Q1",121200,-0.125412541254125,
2016-04-30,324,"Wake","NC","Raleigh",54,232100,0.00519705500216544,0.0184291355857832,0.0511775362318841,0.03887981340488,0.0194140999715948,"2016-04","2016-Q2",232100,0,"2016-04"
2016-04-30,2337,"Hartford","CT","Hartford",55,207700,0.00241312741312741,0.007274490785645,0.0211406096361849,-0.00679244092979381,-0.0161394895404772,"2007-06","2007-Q2",247200,-0.159789644012945,"2004-07"
2016-04-30,489,"Duval","FL","Jacksonville",56,142800,0.00421940928270042,0.0170940170940171,0.0875856816450876,0.0464468838741103,-0.0226678452835882,"2006-11","2006-Q4",187000,-0.236363636363636,"2005-01"
2016-04-30,3246,"Prince Georges","MD","Washington",57,256300,0.001171875,0.00470403763230106,0.0608443708609272,0.0489758477621101,-0.0256932852198792,"2006-10","2006-Q4",343300,-0.253422662394407,"2005-03"
2016-04-30,2815,"New Haven","CT","New Haven",58,209700,-0.00332699619771863,-0.00380047505938242,-0.00897920604914934,-0.00718626180075321,-0.027204048427103,"2006-04","2006-Q2",276300,-0.241042345276873,"2003-10"
2016-04-30,1155,"Macomb","MI","Detroit",59,141700,0.0049645390070922,0.0135908440629471,0.0419117647058823,0.0862406516564835,-0.0165879989582107,"2005-11","2005-Q4",169200,-0.162529550827423,"2000-01"
2016-04-30,204,"Kern","CA","Bakersfield",60,182800,0.00494777350192413,0.0149916712937257,0.0499712808730615,0.0770905633907832,-0.0398055122982932,"2006-05","2006-Q2",274800,-0.334788937409025,"2004-10"
2016-04-30,2061,"Ventura","CA","Ventura",61,541900,0.00147846978377379,0.0125186846038864,0.0625490196078431,0.063777681608379,-0.0160388036390808,"2006-05","2006-Q2",638400,-0.151159147869674,"2004-10"
2016-04-30,2802,"Middlesex","NJ","New York",62,289100,-0.00275957226629872,-0.00344708721130645,-0.00413365483982087,0.00584299949110911,-0.0207930252414472,"2006-06","2006-Q2",358300,-0.193134245046051,"2004-07"
2016-04-30,2314,"Gwinnett","GA","Atlanta",63,183400,0.00273373428102788,0.0143805309734513,0.070636310566258,0.0541384815763732,-0.00119171539552454,"2007-01","2007-Q1",190400,-0.0367647058823529,"2006-02"
2016-04-30,3227,"San Francisco","CA","San Francisco",64,1136100,0.0021169621593014,0.011124955500178,0.0992743105950653,0.109414844833813,0.0386690775969609,"2016-04","2016-Q2",1136100,0,"2016-04"
2016-04-30,2626,"Baltimore","MD","Baltimore",65,220800,0,0.00638103919781222,0.0231696014828545,0.00561884875060126,-0.0164740937776779,"2007-03","2007-Q1",271900,-0.187936741449062,"2005-04"
2016-04-30,2322,"Hamilton","OH","Cincinnati",66,124500,-0.00160384923817161,-0.00479616306954436,0.0097323600973236,0.0144185519337472,-0.00894165130307811,"2006-05","2006-Q2",136500,-0.0879120879120879,"2002-12"
2016-04-30,1690,"El Paso","TX","El Paso",67,110300,0.000907441016333938,0.00455373406193078,-0.000905797101449275,-0.00813835453254119,0.00894718882730361,"2007-12","2007-Q4",119800,-0.0792988313856427,"2006-10"
2016-04-30,2981,"Montgomery","PA","Philadelphia",68,273800,0.000365363536719035,0.00477064220183486,0.0103321033210332,0.00739272613445441,-0.0075308872793689,"2006-08","2006-Q3",296900,-0.0778039744021556,"2005-05"
2016-04-30,2879,"Worcester","MA","Worcester",69,239600,0.000417536534446764,0.011397214014352,0.0354364736387208,0.0211441993763737,-0.0161964785364621,"2005-12","2005-Q4",284000,-0.156338028169014,"2003-07"
2016-04-30,1322,"Pierce","WA","Seattle",70,264100,0.00341945288753799,0.0138195777351248,0.0828208282082821,0.0436515180478243,-0.0025389643427437,"2007-04","2007-Q2",287800,-0.0823488533703961,"2006-02"
2016-04-30,504,"Essex","NJ","New York",71,325400,0.00370141887723627,0.0030826140567201,0.0389527458492976,0.0139654482179576,-0.0225826501285539,"2006-11","2006-Q4",419200,-0.223759541984733,"2004-06"
2016-04-30,951,"Collin","TX","Dallas-Fort Worth",72,285600,0.00811860218849276,0.0329113924050633,0.142857142857143,0.0896719276702791,0.0381008934915479,"2016-04","2016-Q2",285600,0,"2016-04"
2016-04-30,1223,"Monroe","NY","Rochester",73,130000,0.00154083204930663,0.00541376643464811,0.0116731517509728,0.0111315184007641,0.00973203381703369,"2016-04","2016-Q2",130000,0,"2016-04"
2016-04-30,503,"Essex","MA","Boston",74,370700,-0.00134698275862069,0.00569723277265328,0.0516312056737589,0.0396510854984149,-0.000752206392440335,"2005-06","2005-Q2",380800,-0.0265231092436975,"2005-02"
2016-04-30,2810,"Multnomah","OR","Portland",75,342300,0.00824742268041237,0.032579185520362,0.203586497890295,0.0823927755111489,0.0256941601548599,"2016-04","2016-Q2",342300,0,"2016-04"
2016-04-30,2045,"Suffolk","MA","Boston",76,451500,0.0015527950310559,0.015976597659766,0.0544138253152732,0.0719472496420657,0.0218320163185464,"2016-04","2016-Q2",451500,0,"2016-04"
2016-04-30,2463,"Oklahoma","OK","Oklahoma City",77,120900,-0.000826446280991736,0.00248756218905473,0.020253164556962,0.0303745288598101,0.0196715966088319,"2016-03","2016-Q1",121000,-0.000826446280991736,"2016-02"
2016-04-30,2842,"San Mateo","CA","San Francisco",78,1059600,0.00579022306597057,0.0185523406709603,0.119611158072697,0.10909174902126,0.027479247277741,"2016-04","2016-Q2",1059600,0,"2016-04"
2016-04-30,2847,"Snohomish","WA","Seattle",79,361300,0.00865438302624232,0.0290515522643122,0.119268897149938,0.0772062060059842,0.0103961626540094,"2016-04","2016-Q2",361300,0,"2016-04"
2016-04-30,220,"Lake","IL","Chicago",80,222800,-0.000448631673396142,0.00224921277552856,-0.0017921146953405,0.00979673323358843,-0.024594284176395,"2007-04","2007-Q2",288500,-0.227729636048527,"2002-04"
2016-04-30,984,"Dekalb","GA","Atlanta",81,148400,0.00338066260987153,0.0157426420260096,0.0935887988209285,0.0488753474325121,-0.0147644468306118,"2006-08","2006-Q3",173400,-0.144175317185698,"2001-06"
2016-04-30,135,"Cobb","GA","Atlanta",82,207000,0.00485436893203883,0.0187007874015748,0.0703205791106515,0.0536500829441384,0.0052192090612857,"2016-04","2016-Q2",207000,0,"2016-04"
2016-04-30,3134,"San Joaquin","CA","Stockton",83,280600,0.00609537468626748,0.0255847953216374,0.114376489277204,0.124153812587396,-0.038007426266459,"2005-12","2005-Q4",415600,-0.324831568816169,"2004-05"
2016-04-30,330,"Will","IL","Chicago",84,192900,0.00103788271925272,0.0115364446775039,0.035426731078905,0.0170087709508009,-0.0145719825118888,"2006-11","2006-Q4",226400,-0.147968197879859,"2004-07"
2016-04-30,1804,"Jackson","MO","Kansas City",85,106900,0.00754005655042413,0.0103969754253308,0.0930470347648262,0.0187878329042337,,"2010-06","2010-Q2",119300,-0.103939647946354,
2016-04-30,1948,"Norfolk","MA","Boston",86,423500,-0.00117924528301887,-0.00259067357512953,0.036973555337904,0.040590268740164,0.00559959420475176,"2016-01","2016-Q1",424600,-0.00259067357512953,"2015-12"
2016-04-30,988,"Denton","TX","Dallas-Fort Worth",87,240400,0.0054370556252614,0.022108843537415,0.129168623767027,0.0809427071708853,0.0355018080641289,"2016-04","2016-Q2",240400,0,"2016-04"
2016-04-30,2889,"Bernalillo","NM","Albuquerque",88,172700,0.005824111822947,0.00876168224299065,0.0194805194805195,-0.00901555643432672,-0.00132212409989263,"2007-09","2007-Q3",200100,-0.136931534232884,"2006-04"
2016-04-30,2732,"Jefferson","AL","Birmingham",89,108400,0.0037037037037037,0.0121381886087768,0.0565302144249513,0.0148455747914458,-0.00519876024837895,"2007-10","2007-Q4",117300,-0.0758738277919864,"2005-09"
2016-04-30,1106,"Hudson","NJ","New York",90,349800,0.00229226361031519,0.00171821305841924,0.056797583081571,0.0334761335751832,-0.0123785053008287,"2006-11","2006-Q4",416400,-0.159942363112392,"2005-05"
2016-04-30,2441,"Monmouth","NJ","New York",91,372900,-0.00133904659882164,0.00214995968825585,0.00783783783783784,0.0112007539288537,-0.0158946707140585,"2006-04","2006-Q2",437700,-0.14804660726525,"2004-08"
2016-04-30,2243,"Davidson","TN","Nashville",92,200300,0.00501756146512795,0.0245524296675192,0.127815315315315,0.0700166815150367,0.0297529272366448,"2016-04","2016-Q2",200300,0,"2016-04"
2016-04-30,3001,"Providence","RI","Providence",93,202800,0.00645161290322581,0.0226928895612708,0.0640083945435467,0.0186528577440901,-0.0279621868007863,"2005-12","2005-Q4",269600,-0.247774480712166,"2003-06"
2016-04-30,414,"Bucks","PA","Philadelphia",94,287700,0,0.00104384133611691,0.00841219768664564,0.00608808350744039,-0.0111386965749478,"2006-08","2006-Q3",322500,-0.107906976744186,"2005-02"
2016-04-30,1689,"El Paso","CO","Colorado Springs",95,230000,0.00305276929786306,0.0127697049757816,0.0658016682113068,0.0450721949306938,0.0134678727212187,"2016-04","2016-Q2",230000,0,"2016-04"
2016-04-30,3236,"Baltimore City","MD","Baltimore",96,112800,0,0.00984780662488809,0.0681818181818182,0.0154032797479686,0.00026634720606844,"2007-11","2007-Q4",130900,-0.138273491214668,"2006-05"
2016-04-30,80,"Lee","FL","Fort Myers",97,207600,0.00435413642960813,0.0221565731166913,0.113733905579399,0.103625226925312,-0.0348853808561043,"2006-04","2006-Q2",296100,-0.298885511651469,"2005-02"
2016-04-30,757,"Tulsa","OK","Tulsa",98,123800,0.000808407437348424,0.00324149108589951,0.0155865463494668,0.0329004216212543,0.0224001328658305,"2016-04","2016-Q2",123800,0,"2016-04"
2016-04-30,201,"Kent","MI","Grand Rapids",99,153200,0.00261780104712042,0.0172642762284197,0.0743338008415147,0.0553939024571131,0.00448189667447219,"2016-04","2016-Q2",153200,0,"2016-04"
2016-04-30,285,"Polk","FL","Lakeland",100,139600,0.00359453630481668,0.0174927113702624,0.0705521472392638,0.0687847985669614,-0.0286536556927344,"2006-10","2006-Q4",196300,-0.288843606724401,"2005-04"
2016-04-30,3289,"District of Columbia","DC","Washington",101,498200,-0.00240288346015218,-0.00140308679094007,0.0325388601036269,0.0718833863412687,0.0218139262373107,"2016-02","2016-Q1",500100,-0.00379924015196961,"2016-01"
2016-04-30,989,"Denver","CO","Denver",102,342900,0.004099560761347,0.0163011262596325,0.133928571428571,0.105574535676412,0.0429414062205775,"2016-04","2016-Q2",342900,0,"2016-04"
2016-04-30,659,"Ocean","NJ","New York",103,259200,0,0.00348432055749129,0.0140845070422535,0.00162829427507827,-0.0252394855631018,"2006-08","2006-Q3",336800,-0.230403800475059,"2004-03"
2016-04-30,2127,"Arapahoe","CO","Denver",104,312100,0.00742414460942544,0.0273206056616195,0.166292974588939,0.107046591743718,0.0350718619484789,"2016-04","2016-Q2",312100,0,"2016-04"
2016-04-30,1558,"Bristol","MA","Providence",105,271600,0.000736919675755343,0.00592592592592593,0.0531213648701047,0.0250468249946105,-0.0137399559501248,"2005-09","2005-Q3",317500,-0.144566929133858,"2003-11"
2016-04-30,1822,"Johnson","KS","Kansas City",106,227100,0.00620292423571112,0.0183856502242152,0.0666979802724284,0.0269756604206588,0.0162452484426074,"2016-04","2016-Q2",227100,0,"2016-04"
2016-04-30,1556,"Brevard","FL","Melbourne",107,164100,0.00613120784794605,0.0217932752179327,0.114052953156823,0.0828926283168079,-0.0344488932198763,"2006-02","2006-Q1",233500,-0.297216274089936,"2004-08"
2016-04-30,1404,"Summit","OH","Akron",108,117600,-0.000849617672047579,-0.00169779286926995,0.0181818181818182,0.0138203311738292,-0.00671776513018874,"2007-03","2007-Q1",128700,-0.0862470862470862,"2002-04"
2016-04-30,2986,"New Castle","DE","Philadelphia",109,211900,0.00236518448438978,0.00808753568030447,0.0331545587518284,0.0121330613696014,-0.0106300496938342,"2007-05","2007-Q2",242300,-0.125464300453983,"2005-05"
2016-04-30,3152,"Anne Arundel","MD","Baltimore",110,318800,-0.000940144155437167,0.00283107895564643,0.0169059011164274,0.0169521032484787,-0.0134962184038366,"2006-05","2006-Q2",365600,-0.12800875273523,"2005-04"
2016-04-30,771,"Union","NJ","New York",111,309000,0.00259571706683971,0.0134470318137094,0.0567715458276334,0.00795328831595654,-0.0270037516992652,"2006-08","2006-Q3",410600,-0.247442766682903,"2004-03"
2016-04-30,2980,"Montgomery","OH","Dayton",112,88000,0.0045662100456621,0.0103329506314581,0.0244470314318976,0.00274981237983218,-0.0197251983319452,"2006-11","2006-Q4",108200,-0.186691312384473,"1999-05"
2016-04-30,2734,"Jefferson","CO","Denver",113,355900,0.00536723163841808,0.0229951135383731,0.15928338762215,0.0965345712063705,0.0360329200914278,"2016-04","2016-Q2",355900,0,"2016-04"
2016-04-30,3069,"Washington","OR","Portland",114,344400,0.00937866354044549,0.0311377245508982,0.142667551426676,0.0799012879725214,0.0179039242544479,"2016-04","2016-Q2",344400,0,"2016-04"
2016-04-30,2776,"Lancaster","PA","Lancaster",115,179700,-0.000556173526140156,-0.00111172873818788,0.00391061452513967,0.00519978309016844,-0.000111228530345731,"2007-09","2007-Q3",188400,-0.0461783439490446,"2006-04"
2016-04-30,1676,"Douglas","NE","Omaha",116,138400,0,0.00144717800289436,0.0297619047619048,0.0191123674386517,0.00436604329094026,"2016-04","2016-Q2",138400,0,"2016-04"
2016-04-30,322,"Utah","UT","Provo",117,234600,0.00342172797262618,0.02,0.0871177015755329,0.0379881876526924,0.0189741688595202,"2008-02","2008-Q1",259900,-0.0973451327433628,"2007-02"
2016-04-30,197,"Kane","IL","Chicago",118,199000,-0.00100401606425703,0.00353000504286435,0.0101522842639594,0.0143679795348353,-0.020620573909479,"2006-10","2006-Q4",247500,-0.195959595959596,"2003-01"
