"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,96027,"90046","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",23,1229400,0.00277324632952692,0.0134366499052015,0.0537413216765235,0.0905808724658976,0.0203583308907722,"2016-04","2016-Q2",1229400,0,"2016-04"
2016-04-30,92036,"77573","TX","Houston","Galveston","League City",24,217700,0.00600739371534196,0.0144454799627213,0.0527079303675048,0.0334234370917084,0.0233079392471092,"2016-04","2016-Q2",217700,0,"2016-04"
2016-04-30,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",25,345100,0.00436554132712456,0.0231248147050104,0.106089743589744,0.153620757730025,-0.030169728680114,"2005-12","2005-Q4",469800,-0.265432098765432,"2004-05"
2016-04-30,61802,"10462","NY","New York","Bronx","New York",26,115200,0.0131926121372032,0.0444242973708069,0.0806754221388368,0.00404160075014426,,"2010-02","2010-Q1",118700,-0.029486099410278,
2016-04-30,61796,"10456","NY","New York","Bronx","New York",27,266900,0.00565184626978146,0.0152149106124002,0.025355359200922,0.0206252447881299,-0.00403058334015594,"2008-07","2008-Q3",305600,-0.12663612565445,"2007-11"
2016-04-30,92045,"77584","TX","Houston","Brazoria","Pearland",28,222400,0.00406320541760722,0.0136736554238833,0.0666666666666667,0.0507926162653298,0.0195234790706149,"2016-04","2016-Q2",222400,0,"2016-04"
2016-04-30,90654,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",29,164600,0.00611246943765281,0.0179344465058751,0.0987983978638184,0.0697403879296792,0.0165373551419461,"2016-04","2016-Q2",164600,0,"2016-04"
2016-04-30,84615,"60613","IL","Chicago","Cook","Chicago",30,196300,0.00718317085684967,0.0170984455958549,0.0208008320332813,-0.00668989788007734,-0.0174142890224596,"2005-04","2005-Q2",240000,-0.182083333333333,"2001-11"
2016-04-30,66843,"21234","MD","Baltimore","Baltimore","Parkville",31,193400,-0.00309278350515464,0.00155359917141378,0.00155359917141378,0.0083760244281843,-0.0111281934216924,"2007-07","2007-Q3",225400,-0.141969831410825,"2005-07"
2016-04-30,66133,"20009","DC","Washington","District of Columbia","Washington",32,513800,-0.00580495356037152,-0.00791658621355474,0.00175472801715734,0.0367340476558704,0.0109245402158726,"2016-02","2016-Q1",518600,-0.00925568839182414,"2015-07"
