"State","Date","RegionID","Zip","Metro","County","City","SizeRank","Value","Monthly","Quarterly","Annual","Five_Year","Ten_Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","StateName","location"
"AK","2016-04-30",100384,99709,"Fairbanks","Fairbanks North Star","Fairbanks",4466,220200,0.000454338936846888,-0.00136054421768707,0.0237099023709902,-0.00771984825450456,-0.000226783178217671,"2008-05","2008-Q2",266800,-0.174662668665667,"2006-03","Alaska","Fairbanks, AK 99709"
"AK","2016-04-30",100236,99518,"Anchorage","Anchorage","Anchorage",7860,232300,0.00129310344827586,0.0126416739319965,0.0237990304098722,0.0151270185030254,0.00669740321884427,"2008-07","2008-Q3",241800,-0.0392886683209264,"2006-09","Alaska","Anchorage, AK 99518"
"AK","2016-04-30",100326,99645,"Anchorage","Matanuska Susitna","Palmer",4086,247700,0.00324017820980154,-0.00201450443190975,0.0239768499379909,0.0221499375218264,0.00836594054696338,"2009-05","2009-Q2",264300,-0.0628074158153613,"2008-02","Alaska","Palmer, AK 99645"
"AK","2016-04-30",100334,99654,"Anchorage","Matanuska Susitna","Tanaina",3839,247600,0.00609508329947176,0.011437908496732,0.0333889816360601,0.025414846895079,0.00894674458668887,"2009-11","2009-Q4",255000,-0.0290196078431373,"2009-10","Alaska","Tanaina, AK 99654"
"AL","2016-04-30",73294,35057,"Cullman","Cullman","Good Hope",6823,137100,-0.00435729847494553,-0.00435729847494553,0.0985576923076923,0.0119405246645778,,"2013-01","2013-Q1",155500,-0.118327974276527,"2012-03","Alabama","Good Hope, AL 35057"
"AL","2016-04-30",73305,35073,"Birmingham","Jefferson","Graysville",11641,52500,0.00382409177820268,-0.025974025974026,0.0214007782101167,-0.0117636561981584,-0.0183781371393298,"2009-09","2009-Q3",65300,-0.196018376722818,"2002-08","Alabama","Graysville, AL 35073"
"AL","2016-04-30",73788,36251,"","Clay","Ashland",9626,95600,0.00104712041884817,-0.00312825860271116,0.128689492325856,0.0183304488949227,-0.00278124585903661,"2006-05","2006-Q2",98400,-0.0284552845528455,"2006-02","Alabama","Ashland, AL 36251"
"AL","2016-04-30",73761,36117,"Montgomery","Montgomery","Montgomery",394,164300,-0.00182260024301337,-0.00604960677555959,0.0224019912881145,-0.0346688991835532,,"2011-06","2011-Q2",199600,-0.17685370741483,"","Alabama","Montgomery, AL 36117"
"AL","2016-04-30",73690,36022,"Montgomery","Elmore","Deatsville",7237,150400,-0.0079155672823219,-0.0233766233766234,0.042995839112344,0.0200328203171782,0.00107010106168004,"2009-05","2009-Q2",186800,-0.194860813704497,"2006-06","Alabama","Deatsville, AL 36022"
"AL","2016-04-30",73950,36578,"Daphne","Baldwin","Stapleton",12391,157400,0.00510855683269476,0.0135222150676111,0.0314547837483617,0.0441841458247154,-0.0018862547262245,"2006-05","2006-Q2",162700,-0.0325752919483712,"2006-04","Alabama","Stapleton, AL 36578"
"AL","2016-04-30",73754,36110,"Montgomery","Montgomery","Montgomery",7359,41700,0,0.0121359223300971,0,-0.0181526529876963,-0.0365302847334379,"1998-04","1998-Q2",62500,-0.3328,"","Alabama","Montgomery, AL 36110"
"AL","2016-04-30",73259,35006,"Birmingham","Jefferson","North Johns",10882,79600,-0.00748129675810474,0.00505050505050505,0.0140127388535032,0.0130592539886998,0.0105071509932011,"2016-03","2016-Q1",80200,-0.00748129675810474,"2016-02","Alabama","North Johns, AL 35006"
"AL","2016-04-30",73392,35222,"Birmingham","Jefferson","Birmingham",7997,199500,0.00251256281407035,0.0116632860040568,0.0527704485488127,0.0341072037175039,0.00568773704756453,"2016-04","2016-Q2",199500,0,"2016-04","Alabama","Birmingham, AL 35222"
"AL","2016-04-30",73325,35116,"Birmingham","Jefferson","Morris",10182,145200,0,0.00554016620498615,0.0645161290322581,0.0345848286270718,0.010113531648007,"2016-04","2016-Q2",145200,0,"2016-04","Alabama","Morris, AL 35116"
"AL","2016-04-30",73967,36608,"Mobile","Mobile","Mobile",1556,124000,0.00486223662884927,0.0105949470252649,0.0472972972972973,0.00607697889347092,-0.0082426929509164,"2008-08","2008-Q3",152800,-0.18848167539267,"2005-10","Alabama","Mobile, AL 36608"
"AL","2016-04-30",73646,35951,"Albertville","Marshall","Albertville",7204,93400,0,0.00214592274678112,-0.0053248136315229,-0.00191613075395347,-0.000320632987211411,"2007-07","2007-Q3",100100,-0.0669330669330669,"2006-11","Alabama","Albertville, AL 35951"
"AL","2016-04-30",73295,35058,"Cullman","Cullman","Cullman",7786,115300,-0.000866551126516464,-0.000866551126516464,0.0675925925925926,0.0116728203778163,,"2012-10","2012-Q4",143000,-0.193706293706294,"2011-09","Alabama","Cullman, AL 35058"
"AL","2016-04-30",73385,35215,"Birmingham","Jefferson","Birmingham",771,82300,0.00611246943765281,0.0173053152039555,0.0551282051282051,0.00269479655733673,-0.0211355300380104,"2007-10","2007-Q4",104000,-0.208653846153846,"2001-07","Alabama","Birmingham, AL 35215"
"AL","2016-04-30",73257,35004,"Birmingham","Saint Clair","Moody",7410,141700,0.00354107648725213,0.0106990014265335,0.0194244604316547,0.0167599983981765,0.00272203421562467,"2007-11","2007-Q4",142300,-0.00421644413211525,"2007-07","Alabama","Moody, AL 35004"
"AL","2016-04-30",73753,36109,"Montgomery","Montgomery","Montgomery",3717,95400,0,0.00104931794333683,0.0181430096051227,-0.00208335143696892,-0.0109462892252739,"2008-11","2008-Q4",118000,-0.191525423728814,"2004-06","Alabama","Montgomery, AL 36109"
"AL","2016-04-30",73599,35761,"Huntsville","Madison","New Market",7479,142200,0,0.00352858151023289,0.0417582417582417,0.00733153119318497,0.00971157619963425,"2007-05","2007-Q2",144700,-0.0172771250863856,"2007-01","Alabama","New Market, AL 35761"
"AL","2016-04-30",73623,35810,"Huntsville","Madison","Huntsville",2753,73400,0.00824175824175824,0.0237099023709902,0.0208623087621697,-0.0087569868183176,-0.0139840616690202,"2007-07","2007-Q3",90900,-0.192519251925193,"","Alabama","Huntsville, AL 35810"
"AL","2016-04-30",73645,35950,"Albertville","Marshall","Albertville",4993,85400,-0.00233644859813084,-0.00813008130081301,0.00826446280991736,0.0028342448080505,-0.00242632097022044,"2007-07","2007-Q3",91300,-0.0646221248630887,"2005-09","Alabama","Albertville, AL 35950"
"AL","2016-04-30",73339,35133,"Birmingham","Saint Clair","Springville",10828,130100,0.00385802469135802,0.0108780108780109,0.0317208564631245,0.0101398849606802,-0.00391144525753151,"2006-03","2006-Q1",136100,-0.0440852314474651,"2005-11","Alabama","Springville, AL 35133"
"AL","2016-04-30",73324,35115,"Birmingham","Shelby","Montevallo",6696,119700,0.000836120401337793,0.0152671755725191,0.0169923534409516,0.00543417979270577,-0.00535276430764631,"2006-04","2006-Q2",126300,-0.0522565320665083,"2005-12","Alabama","Montevallo, AL 35115"
"AL","2016-04-30",73267,35019,"Cullman","Cullman","Baileyton",12058,99600,0.00403225806451613,0.0225872689938398,0.0121951219512195,-0.00377219411119856,,"2012-10","2012-Q4",129400,-0.230293663060278,"2011-03","Alabama","Baileyton, AL 35019"
"AL","2016-04-30",73906,36522,"Mobile","Mobile","Citronelle",8845,94800,-0.00210526315789474,-0.00524658971668416,-0.0206611570247934,-0.00021083704172753,0.00873910263040134,"2009-10","2009-Q4",107000,-0.114018691588785,"2007-12","Alabama","Citronelle, AL 36522"
"AL","2016-04-30",73358,35175,"Albertville","Marshall","Union Grove",9880,120400,-0.0066006600660066,-0.00741962077493817,-0.0139230139230139,-0.00983586340804732,0.00861731834645396,"2008-05","2008-Q2",136500,-0.117948717948718,"2007-12","Alabama","Union Grove, AL 35175"
"AL","2016-04-30",73404,35235,"Birmingham","Jefferson","Birmingham",5139,104900,0.00865384615384615,0.0324803149606299,0.0758974358974359,0.0149468645747297,-0.0131113965685415,"2006-12","2006-Q4",120900,-0.132340777502068,"2003-10","Alabama","Birmingham, AL 35235"
"AL","2016-04-30",73945,36572,"Mobile","Mobile","Satsuma",9229,134300,-0.00296956198960653,-0.00592153960029608,0.03228285933897,0.0197312882029197,0.00680005055818644,"2008-10","2008-Q4",144000,-0.0673611111111111,"2007-10","Alabama","Satsuma, AL 36572"
"AL","2016-04-30",73376,35206,"Birmingham","Jefferson","Birmingham",6047,53700,-0.00922509225092251,-0.0529100529100529,0.0075046904315197,-0.014266095367542,-0.0233329472832888,"2007-10","2007-Q4",69700,-0.229555236728838,"2001-03","Alabama","Birmingham, AL 35206"
"AL","2016-04-30",73807,36273,"","Cleburne","Ranburne",11256,125500,-0.00790513833992095,-0.0225856697819315,0.0903562119895743,0.0689977886431721,0.00168888927981992,"2016-01","2016-Q1",128400,-0.0225856697819315,"2015-10","Alabama","Ranburne, AL 36273"
"AL","2016-04-30",73377,35207,"Birmingham","Jefferson","Birmingham",8291,41800,-0.0141509433962264,-0.00947867298578199,0.0372208436724566,0.00240966650358287,-0.0165666468943581,"2008-10","2008-Q4",52200,-0.199233716475096,"2003-08","Alabama","Birmingham, AL 35207"
